"ProblemID","UserID","SubmissionNumber","TimeStamp","TimeSinceLast","Grade","GradeDiff","NVideoEvents","NForumEvents","NumberOfThreadCreated","NumberOfUpvotes","NumberOfVideoInteractions","RewatchingScore","NumberOfPosts","NumberVideoWatched","NumberOfThreadViews","DurationOfVideoActivity","AverageVideoTimeDiffs","LastForumEvent","NumberOfSlowPlay","TimeSpentOnForum","LastVideoEvent","AvgTimeBwSubs","NVideoAndForum","ActivityRate","TimeSinceLastVideo","TimeSinceLastForum","improved"
11,"0009e7ff2e6bad5d80640eeb61cd6e0d",13,1397499746,529,88.8888888888889,11.1111111111111,0,3,0,0,0,0,0,0,0,0,0,1397499715,0,9,0,1330.10638297872,3,0.148936170212766,1397499746,31,"Yes"
11,"0009e7ff2e6bad5d80640eeb61cd6e0d",14,1397502429,2683,77.7777777777778,-11.1111111111111,0,27,0,0,0,0,0,0,14,0,0,1397502085,0,2319,0,1330.10638297872,27,0.148936170212766,1397502429,344,"No"
14,"0009e7ff2e6bad5d80640eeb61cd6e0d",5,1397596602,233,80,0,0,6,0,0,0,0,0,0,2,0,0,1397596483,0,37,0,1330.10638297872,6,0.148936170212766,1397596602,119,"No"
14,"0009e7ff2e6bad5d80640eeb61cd6e0d",9,1397596892,97,86.6666666666667,0,0,1,0,0,0,0,0,0,1,0,0,1397596838,0,0,0,1330.10638297872,1,0.148936170212766,1397596892,54,"No"
14,"0009e7ff2e6bad5d80640eeb61cd6e0d",10,1397597189,297,86.6666666666667,0,0,2,0,0,0,0,0,0,1,0,0,1397596936,0,7,0,1330.10638297872,2,0.148936170212766,1397597189,253,"No"
14,"0009e7ff2e6bad5d80640eeb61cd6e0d",11,1397643757,46568,0,-86.6666666666667,0,1,0,0,0,0,0,0,1,0,0,1397643530,0,0,0,1330.10638297872,1,0.148936170212766,1397643757,227,"No"
14,"0009e7ff2e6bad5d80640eeb61cd6e0d",22,1397647321,320,100,13.3333333333333,0,2,0,0,0,0,0,0,1,0,0,1397647223,0,7,0,1330.10638297872,2,0.148936170212766,1397647321,98,"Yes"
2,"0020dea356e254c45d9d4ffe68229b3b",1,1393776001,436,75,75,0,7,0,0,0,0,0,0,3,0,0,1393775789,0,84,0,2472.425,7,0.1,1393776001,212,"Yes"
8,"0020dea356e254c45d9d4ffe68229b3b",1,1396215139,23045,0,0,0,14,0,0,0,0,0,0,5,0,0,1396214992,0,756,0,2472.425,14,0.1,1396215139,147,"No"
9,"0020dea356e254c45d9d4ffe68229b3b",3,1396713121,499,20,0,0,7,0,0,0,0,0,0,1,0,0,1396712894,0,46,0,2472.425,7,0.1,1396713121,227,"No"
14,"0020dea356e254c45d9d4ffe68229b3b",6,1397403411,416,86.6666666666667,0,0,4,0,0,0,0,0,0,1,0,0,1397403086,0,20,0,2472.425,4,0.1,1397403411,325,"No"
2,"0123f0d5ea6362ba71ac18b22583d71d",2,1394135298,3840,0,0,0,10,0,0,0,0,0,0,4,0,0,1394135268,0,933,0,19788.3428571429,10,0.457142857142857,1394135298,30,"No"
2,"0123f0d5ea6362ba71ac18b22583d71d",3,1394137748,2450,0,0,7,15,0,0,0,0,0,4,7,339,56.5,1394137497,0,2092,1394137532,19788.3428571429,22,0.457142857142857,216,251,"No"
2,"0123f0d5ea6362ba71ac18b22583d71d",4,1394207024,69276,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1394156636,19788.3428571429,1,0.457142857142857,50388,1394207024,"No"
2,"0123f0d5ea6362ba71ac18b22583d71d",5,1394217564,10540,0,0,0,3,0,0,0,0,0,0,1,0,0,1394216819,0,35,0,19788.3428571429,3,0.457142857142857,1394217564,745,"No"
2,"0123f0d5ea6362ba71ac18b22583d71d",7,1394221207,3425,0,0,0,7,0,0,0,0,0,0,2,0,0,1394221132,0,2206,0,19788.3428571429,7,0.457142857142857,1394221207,75,"No"
2,"0123f0d5ea6362ba71ac18b22583d71d",8,1394222909,1702,0,0,0,7,0,0,0,0,0,0,2,0,0,1394222877,0,1467,0,19788.3428571429,7,0.457142857142857,1394222909,32,"No"
2,"0123f0d5ea6362ba71ac18b22583d71d",9,1394223458,549,0,0,0,14,0,0,0,0,0,0,6,0,0,1394223176,0,235,0,19788.3428571429,14,0.457142857142857,1394223458,282,"No"
2,"0123f0d5ea6362ba71ac18b22583d71d",10,1394223880,422,50,50,0,6,0,0,0,0,0,0,2,0,0,1394223545,0,51,0,19788.3428571429,6,0.457142857142857,1394223880,335,"Yes"
4,"0123f0d5ea6362ba71ac18b22583d71d",4,1394570272,6548,0,0,0,25,0,0,0,0,0,0,11,0,0,1394570038,0,6195,0,19788.3428571429,25,0.457142857142857,1394570272,234,"No"
4,"0123f0d5ea6362ba71ac18b22583d71d",7,1394570905,392,25,25,0,2,0,0,0,0,0,0,1,0,0,1394570670,0,116,0,19788.3428571429,2,0.457142857142857,1394570905,235,"Yes"
4,"0123f0d5ea6362ba71ac18b22583d71d",9,1394572039,932,25,25,0,7,0,0,0,0,0,0,3,0,0,1394571721,0,303,0,19788.3428571429,7,0.457142857142857,1394572039,318,"Yes"
4,"0123f0d5ea6362ba71ac18b22583d71d",10,1394572199,160,25,0,0,1,0,0,0,0,0,0,1,0,0,1394572189,0,0,0,19788.3428571429,1,0.457142857142857,1394572199,10,"No"
4,"0123f0d5ea6362ba71ac18b22583d71d",11,1394572751,552,25,0,0,9,0,0,0,0,0,0,3,0,0,1394572625,0,260,0,19788.3428571429,9,0.457142857142857,1394572751,126,"No"
4,"0123f0d5ea6362ba71ac18b22583d71d",15,1394645558,72049,25,0,0,53,0,0,0,0,0,0,24,0,0,1394645541,0,64303,0,19788.3428571429,53,0.457142857142857,1394645558,17,"No"
4,"0123f0d5ea6362ba71ac18b22583d71d",17,1394650542,3525,0,-25,0,31,0,0,0,0,0,0,12,0,0,1394649753,0,2584,0,19788.3428571429,31,0.457142857142857,1394650542,789,"No"
4,"0123f0d5ea6362ba71ac18b22583d71d",20,1394657023,6182,25,0,0,18,0,0,0,0,0,0,7,0,0,1394656538,0,642,0,19788.3428571429,18,0.457142857142857,1394657023,485,"No"
4,"0123f0d5ea6362ba71ac18b22583d71d",33,1394741923,80607,50,0,0,151,1,0,0,0,2,0,58,0,0,1394741448,0,79839,0,19788.3428571429,151,0.457142857142857,1394741923,475,"No"
4,"0123f0d5ea6362ba71ac18b22583d71d",34,1395275087,533164,50,0,10,477,1,0,1,2,1,4,225,445819,49535.4444444444,1395274935,0,532632,1395260350,19788.3428571429,487,0.457142857142857,14737,152,"No"
4,"0123f0d5ea6362ba71ac18b22583d71d",35,1395332896,57809,45,-5,0,16,0,0,0,0,0,0,6,0,0,1395332867,0,57727,0,19788.3428571429,16,0.457142857142857,1395332896,29,"No"
4,"0123f0d5ea6362ba71ac18b22583d71d",36,1395335188,2292,50,5,0,7,0,0,0,0,0,0,3,0,0,1395334822,0,1914,0,19788.3428571429,7,0.457142857142857,1395335188,366,"Yes"
4,"0123f0d5ea6362ba71ac18b22583d71d",39,1395348200,12522,25,-25,0,53,0,0,0,0,0,0,25,0,0,1395348174,0,11403,0,19788.3428571429,53,0.457142857142857,1395348200,26,"No"
4,"0123f0d5ea6362ba71ac18b22583d71d",40,1395427620,79420,20,-5,3,49,1,0,0,0,1,3,19,85,42.5,1395426898,0,78654,1395418022,19788.3428571429,52,0.457142857142857,9598,722,"No"
5,"0123f0d5ea6362ba71ac18b22583d71d",1,1395164600,76396,0,0,0,64,0,0,0,0,0,0,31,0,0,1395164476,0,74613,0,19788.3428571429,64,0.457142857142857,1395164600,124,"No"
5,"0123f0d5ea6362ba71ac18b22583d71d",2,1395178265,13665,0,0,0,11,0,0,0,0,0,0,4,0,0,1395177969,0,12364,0,19788.3428571429,11,0.457142857142857,1395178265,296,"No"
5,"0123f0d5ea6362ba71ac18b22583d71d",3,1395179669,1404,0,0,0,6,0,0,0,0,0,0,2,0,0,1395179266,0,600,0,19788.3428571429,6,0.457142857142857,1395179669,403,"No"
5,"0123f0d5ea6362ba71ac18b22583d71d",4,1395250203,70534,0,0,0,42,1,0,0,0,1,0,18,0,0,1395250090,0,70346,0,19788.3428571429,42,0.457142857142857,1395250203,113,"No"
5,"0123f0d5ea6362ba71ac18b22583d71d",5,1395252174,1971,0,0,0,2,0,0,0,0,0,0,0,0,0,1395251828,0,1517,0,19788.3428571429,2,0.457142857142857,1395252174,346,"No"
5,"0123f0d5ea6362ba71ac18b22583d71d",6,1395255325,3151,0,0,0,2,0,0,0,0,0,0,1,0,0,1395252608,0,312,0,19788.3428571429,2,0.457142857142857,1395255325,2717,"No"
5,"0123f0d5ea6362ba71ac18b22583d71d",7,1395263814,8489,0,0,7,6,0,0,1,2,0,1,3,63,10.5,1395261927,0,2106,1395260350,19788.3428571429,13,0.457142857142857,3464,1887,"No"
5,"0123f0d5ea6362ba71ac18b22583d71d",8,1395425512,161698,42.2222222222222,42.2222222222222,3,125,0,0,0,0,0,3,55,85,42.5,1395424325,0,159278,1395418022,19788.3428571429,128,0.457142857142857,7490,1187,"Yes"
5,"0123f0d5ea6362ba71ac18b22583d71d",9,1395430614,5102,40,-2.22222222222222,0,31,1,0,0,0,1,0,10,0,0,1395429284,0,2966,0,19788.3428571429,31,0.457142857142857,1395430614,1330,"No"
5,"0123f0d5ea6362ba71ac18b22583d71d",10,1395433502,2888,40,0,0,1,0,0,0,0,0,0,0,0,0,1395431743,0,0,0,19788.3428571429,1,0.457142857142857,1395433502,1759,"No"
4,"0163bbd011cfc0d63c527cb732fa2063",1,1395092108,256,75,0,0,2,0,0,0,0,0,0,1,0,0,1395091967,0,26,0,21387.5384615385,2,0.230769230769231,1395092108,141,"No"
8,"0163bbd011cfc0d63c527cb732fa2063",1,1395676289,275616,0,0,10,2,0,0,2,0,0,1,1,47,5.22222222222222,1395404857,0,54,1395660658,21387.5384615385,12,0.230769230769231,15631,271432,"No"
8,"0163bbd011cfc0d63c527cb732fa2063",2,1395676597,308,0,0,3,0,0,0,0,0,0,3,0,19,9.5,0,0,0,1395676323,21387.5384615385,3,0.230769230769231,274,1395676597,"No"
1,"016f89dd9188f8ee1520cd0fe07030ff",2,1394917771,756,87.5,12.5,0,6,0,0,0,0,0,0,3,0,0,1394917251,0,42,0,65984.935483871,6,0.451612903225806,1394917771,520,"Yes"
1,"016f89dd9188f8ee1520cd0fe07030ff",3,1394917932,161,100,12.5,0,1,0,0,0,0,0,0,0,0,0,1394917835,0,0,0,65984.935483871,1,0.451612903225806,1394917932,97,"Yes"
3,"016f89dd9188f8ee1520cd0fe07030ff",1,1397159265,2023065,75,0,1423,158,0,0,1340,11,0,14,82,1828445,1285.82630098453,1397134789,0,1827304,1397132962,65984.935483871,1581,0.451612903225806,26303,24476,"No"
